"","text_type","mean_readability","sd_readability","n","se_readability","lower_ci","upper_ci"
"1","PolSci Abstracts",16.9786322811927,4.72296173227711,2447,0.0954767092671627,16.7914087258138,17.1658558365717
"2","Tabloid Newspapers",8.44403838758404,4.02498008935696,32721,0.022251047069278,8.40042552340193,8.48765125176615
"3","Broadsheet Newspapers",12.562157327378,4.91739029005434,64162,0.0194131376018318,12.5241075590621,12.6002070956938
"4","Tweets",9.89907434949687,8.64756226507149,18693,0.0632490773743489,9.77510040810117,10.0230482908926
"5","Privacy Policies",14.03,1.26,47,0.183789889287347,13.6600501407276,14.3999498592724
